Nome,Município,Província,Distrito
A-4 - Saída 450,Écija,Sevilha,
A-4 - Saída 455,Écija,Sevilha,
A-4 - Saída 457,Écija,Sevilha,
A-4 - Saída 459,Écija,Sevilha,
A-4 - Saída 461,Écija,Sevilha,
A-4 - Saída 464,La Luisiana,Sevilha,
A-4 - Saída 468,Écija,Sevilha,
A-4 - Saída 471,Écija,Sevilha,
A-4 - Saída 475,Fuentes de Andalucía,Sevilha,
A-4 - Saída 480,Fuentes de Andalucía,Sevilha,
A-4 - Saída 482,La Campana,Sevilha,
A-4 - Saída 484,La Campana,Sevilha,
A-4 - Saída 487,La Campana,Sevilha,
A-4 - Saída 491,Carmona,Sevilha,
A-4 - Saída 494,Carmona,Sevilha,
A-4 - Saída 498,Carmona,Sevilha,
A-4 - Saída 500,Carmona,Sevilha,
A-4 - Saída 504,Carmona,Sevilha,
A-4 - Saída 506,Carmona,Sevilha,
A-4 - Saída 508,Carmona,Sevilha,
A-4 - Saída 511,Carmona,Sevilha,
A-4 - Saída 514,Carmona,Sevilha,
A-4 - Saída 516,Carmona,Sevilha,
A-4 - Saída 519,Carmona,Sevilha,
A-4 - Saída 521,Carmona,Sevilha,
A-4 - Saída 523,Carmona,Sevilha,
A-4 - Saída 524,La Rinconada,Sevilha,
A-4 - Saída 528,La Rinconada,Sevilha,
A-4 - Saída 530,La Rinconada,Sevilha,
A-4 - Saída 532,Sevilha,Sevilha,Este-Alcosa-Torreblanca
A-4 - Saída 533,Sevilha,Sevilha,Este-Alcosa-Torreblanca
A-4 - Saída 536,Sevilha,Sevilha,Este-Alcosa-Torreblanca
A-4 - Saída 553,Dos Hermanas,Sevilha,
A-4 - Saída 558,Dos Hermanas,Sevilha,
A-4 - Saída 628,Jerez de la Frontera,Cádiz,Rural
A-4 - Saída 631,Jerez de la Frontera,Cádiz,Rural
A-5 - Aluche,Madrid,Comunidade de Madrid,Latina
A-5 - Avenida de los Poblados,Madrid,Comunidade de Madrid,Latina
A-5 - Calle de Allande,Madrid,Comunidade de Madrid,Latina
A-5 - Carretera de Boadilla del Monte,Madrid,Comunidade de Madrid,Latina
A-5 - Cuatro Vientos,Madrid,Comunidade de Madrid,Latina
A-5 - El Batán,Madrid,Comunidade de Madrid,Latina
A-5 - Museo del Aire,Madrid,Comunidade de Madrid,Latina
A-5 - Quinta Asturias,Navalcarnero,Comunidade de Madrid,
A-5 - Saída 3,Madrid,Comunidade de Madrid,Moncloa-Aravaca
A-5 - Saída 5A,Madrid,Comunidade de Madrid,Latina
A-5 - Saída 11,Alcorcón,Comunidade de Madrid,Norte
A-5 - Saída 12,Alcorcón,Comunidade de Madrid,Norte
A-5 - Saída 12A,Alcorcón,Comunidade de Madrid,Norte
A-5 - Saída 12B,Alcorcón,Comunidade de Madrid,Norte
A-5 - Saída 13,Alcorcón,Comunidade de Madrid,Norte
A-5 - Saída 14,Alcorcón,Comunidade de Madrid,Norte
A-5 - Saída 18,Móstoles,Comunidade de Madrid,Norte-Universidad
A-5 - Saída 19,Móstoles,Comunidade de Madrid,Oeste
A-5 - Saída 21,Móstoles,Comunidade de Madrid,Oeste
A-5 - Saída 22,Móstoles,Comunidade de Madrid,Oeste
A-5 - Saída 23,Móstoles,Comunidade de Madrid,Coimbra-Guadarrama
A-5 - Saída 24,Móstoles,Comunidade de Madrid,Coimbra-Guadarrama
A-5 - Saída 25,Móstoles,Comunidade de Madrid,Coimbra-Guadarrama
A-5 - Saída 27,Navalcarnero,Comunidade de Madrid,
A-5 - Saída 28,Navalcarnero,Comunidade de Madrid,
A-5 - Saída 28B,Navalcarnero,Comunidade de Madrid,
A-5 - Saída 29A,Navalcarnero,Comunidade de Madrid,
A-5 - Saída 29B,Navalcarnero,Comunidade de Madrid,
A-5 - Saída 31,Navalcarnero,Comunidade de Madrid,
A-5 - Saída 32,Navalcarnero,Comunidade de Madrid,
A-5 - Saída 36,Casarrubios del Monte,Toledo,
A-5 - Saída 40,Casarrubios del Monte,Toledo,
A-5 - Saída 43,Valmojado,Toledo,
A-5 - Saída 47,Casarrubios del Monte,Toledo,
A-5 - Saída 49,Casarrubios del Monte,Toledo,
A-5 - Saída 52,Las Ventas de Retamosa,Toledo,
A-5 - Saída 58,Santa Cruz del Retamar,Toledo,
A-5 - Saída 61,Santa Cruz del Retamar,Toledo,
A-5 - Saída 66,Quismondo,Toledo,
A-5 - Saída 69,Maqueda,Toledo,
A-5 - Saída 72,Maqueda,Toledo,
A-5 - Saída 74,Maqueda,Toledo,
A-5 - Saída 79,Santa Olalla,Toledo,
A-5 - Saída 83,Santa Olalla,Toledo,
A-5 - Saída 85,Santa Olalla,Toledo,
A-5 - Saída 86,Otero,Toledo,
A-5 - Saída 88,Otero,Toledo,
A-5 - Saída 90,Los Cerralbos,Toledo,
A-5 - Saída 91,Los Cerralbos,Toledo,
A-5 - Saída 92,Los Cerralbos,Toledo,
A-5 - Saída 96,Lucillos,Toledo,
A-5 - Saída 101,Cazalegas,Toledo,
A-5 - Saída 106,Cazalegas,Toledo,
A-5 - Saída 111,Pepino,Toledo,
A-5 - Saída 115,Pepino,Toledo,
A-5 - Saída 118,Talavera de la Reina,Toledo,
A-5 - Saída 123,Talavera de la Reina,Toledo,
A-5 - Saída 124,Talavera de la Reina,Toledo,
A-5 - Saída 126,Talavera de la Reina,Toledo,
A-5 - Saída 128,Talavera de la Reina,Toledo,
A-5 - Saída 130,Calera y Chozas,Toledo,
A-5 - Saída 135,Calera y Chozas,Toledo,
A-5 - Saída 142,Oropesa,Toledo,
A-5 - Saída 145,Torralba de Oropesa,Toledo,
A-5 - Saída 146,Oropesa,Toledo,
A-5 - Saída 148,Oropesa,Toledo,
A-5 - Saída 152,Lagartera,Toledo,
A-5 - Saída 154,Herreruela de Oropesa,Toledo,
A-5 - Saída 157,La Calzada de Oropesa,Toledo,
A-5 - Saída 163,Oropesa,Toledo,
A-5 - Saída 171,Peraleda de la Mata,Cáceres,
A-5 - Saída 174,Peraleda de la Mata,Cáceres,
A-5 - Saída 178,Navalmoral de la Mata,Cáceres,
A-5 - Saída 182,Navalmoral de la Mata,Cáceres,
A-5 - Saída 184,Millanes,Cáceres,
A-5 - Saída 186,Saucedilla,Cáceres,
A-5 - Saída 190,Belvís de Monroy,Cáceres,
A-5 - Saída 192,Belvís de Monroy,Cáceres,
A-5 - Saída 193,Almaraz,Cáceres,
A-5 - Saída 197,Almaraz,Cáceres,
A-5 - Saída 200,Romangordo,Cáceres,
A-5 - Saída 207,Romangordo,Cáceres,
A-5 - Saída 210,Romangordo,Cáceres,
A-5 - Saída 219,Deleitosa,Cáceres,
A-5 - Saída 227,Jaraicejo,Cáceres,
A-5 - Saída 232,Torrecillas de la Tiesa,Cáceres,
A-5 - Saída 240,Trujillo,Cáceres,
A-5 - Saída 250,Trujillo,Cáceres,
A-5 - Saída 253,Trujillo,Cáceres,
A-5 - Saída 259,Trujillo,Cáceres,
A-5 - Saída 268,Santa Cruz de la Sierra,Cáceres,
A-5 - Saída 269,Puerto de Santa Cruz,Cáceres,
A-5 - Saída 272,Puerto de Santa Cruz,Cáceres,
A-5 - Saída 275,Villamesías,Cáceres,
A-5 - Saída 277,Villamesías,Cáceres,
A-5 - Saída 281,Villamesías,Cáceres,
A-5 - Saída 287,Escurial,Cáceres,
A-5 - Saída 298,Miajadas,Cáceres,
A-5 - Saída 300,Miajadas,Cáceres,
A-5 - Saída 304,Don Benito,Badajoz,
A-5 - Saída 310,Santa Amalia,Badajoz,
A-5 - Saída 316,Guareña,Badajoz,
A-5 - Saída 318,Guareña,Badajoz,
A-5 - Saída 325,San Pedro de Mérida,Badajoz,
A-5 - Saída 331,Trujillanos,Badajoz,
A-5 - Saída 333,Mérida,Badajoz,
A-5 - Saída 341,Mérida,Badajoz,
A-5 - Saída 342,Mérida,Badajoz,
A-5 - Saída 346,Mérida,Badajoz,
A-5 - Saída 352,Arroyo de San Serván,Badajoz,
A-5 - Saída 354,Mérida,Badajoz,
A-5 - Saída 360,Mérida,Badajoz,
A-5 - Saída 365,Lobón,Badajoz,
A-5 - Saída 367,Lobón,Badajoz,
A-5 - Saída 372,Lobón,Badajoz,
A-5 - Saída 374,Talavera la Real,Badajoz,
A-5 - Saída 376,Talavera la Real,Badajoz,
A-5 - Saída 380,Talavera la Real,Badajoz,
A-5 - Saída 382,Talavera la Real,Badajoz,
A-5 - Saída 395,Badajoz,Badajoz,
A-5 - Saída 400,Badajoz,Badajoz,
A-5 - Saída 403,Badajoz,Badajoz,
A-5 - Saída 407,Badajoz,Badajoz,
A-5R - Alcorcón Norte,Alcorcón,Comunidade de Madrid,Norte
A-6 - Saída 19,Las Rozas de Madrid,Comunidade de Madrid,Centro
A-6 - Saída 24,Las Rozas de Madrid,Comunidade de Madrid,Norte
A-7 - Saída 103,Algeciras,Cádiz,
A-7 - Saída 104,Algeciras,Cádiz,
A-7 - Saída 105,Algeciras,Cádiz,
A-7 - Saída 106,Algeciras,Cádiz,
A-7 - Saída 107A,Algeciras,Cádiz,
A-7 - Saída 107B,Algeciras,Cádiz,
A-7 - Saída 108A,Algeciras,Cádiz,
A-7 - Saída 108B,Algeciras,Cádiz,
A-7 - Saída 108C,Algeciras,Cádiz,
A-7 - Saída 109,Algeciras,Cádiz,
A-7 - Saída 110A,Los Barrios,Cádiz,
A-7 - Saída 111,Los Barrios,Cádiz,
A-7 - Saída 112,Los Barrios,Cádiz,
A-7 - Saída 113A,Los Barrios,Cádiz,
A-7 - Saída 113B,Los Barrios,Cádiz,
A-7 - Saída 115,San Roque,Cádiz,
A-7 - Saída 116,San Roque,Cádiz,
A-7 - Saída 117,San Roque,Cádiz,
A-7 - Saída 119,San Roque,Cádiz,
A-7 - Saída 127,San Roque,Cádiz,
A-7 - Saída 130,San Roque,Cádiz,
A-7 - Saída 132,San Roque,Cádiz,
A-7 - Saída 158,Estepona,Málaga,
A-7 - Saída 160,Estepona,Málaga,
A-7 - Saída 163,Estepona,Málaga,
A-7 - Saída 165,Estepona,Málaga,
A-7 - Saída 168,Estepona,Málaga,
A-7 - Saída 170,Marbella,Málaga,San Pedro de Alcántara
A-7 - Saída 172,Marbella,Málaga,San Pedro de Alcántara
A-7 - Saída 174,Marbella,Málaga,Nueva Andalucía
A-7 - Saída 175,Marbella,Málaga,Nueva Andalucía
A-7 - Saída 176,Marbella,Málaga,Marbella Oeste
A-7 - Saída 226,Málaga,Málaga,Churriana
A-7 - Saída 230,Alhaurín de la Torre,Málaga,
A-7 - Saída 235-237,Málaga,Málaga,Puerto de la Torre
A-7 - Saída 242,Málaga,Málaga,Ciudad Jardín
A-7 - Saída 243,Málaga,Málaga,Este
A-7 - Saída 244,Málaga,Málaga,Este
A-7 - Saída 245,Málaga,Málaga,Este
A-7 - Saída 246,Málaga,Málaga,Este
A-7 - Saída 254,Rincón de la Victoria,Málaga,
A-7 - Saída 256,Rincón de la Victoria,Málaga,
A-7 - Saída 258,Rincón de la Victoria,Málaga,
A-7 - Saída 265,Vélez-Málaga,Málaga,
A-7 - Saída 272,Vélez-Málaga,Málaga,
A-7 - Saída 274,Vélez-Málaga,Málaga,
A-7 - Saída 277,Algarrobo,Málaga,
A-7 - Saída 285,Torrox,Málaga,
A-7 - Saída 292,Frigiliana,Málaga,
A-7 - Saída 295,Nerja,Málaga,
A-7 - Saída 305,Almuñécar,Granada,
A-7 - Saída 314,Almuñécar,Granada,
A-7 - Saída 322,Salobreña,Granada,
A-7 - Saída 342,Motril,Granada,
A-7/AP-7 - Saída 155,Estepona,Málaga,
A-7/AP-7 - Saída 182,Marbella,Málaga,Marbella Oeste
A-7/AP-7 - Saída 184,Marbella,Málaga,Marbella Oeste
A-7/AP-7 - Saída 185,Marbella,Málaga,Marbella Este
A-7/AP-7 - Saída 217,Fuengirola,Málaga,
A-7/AP-7 - Saída 222,Benalmádena,Málaga,
A-32 - Saída 1,Bailén,Jaén,
A-40 - Saída 94,Santo Domingo-Caudilla,Toledo,
A-44 - Saída 12,Jabalquinto,Jaén,
A-44 - Saída 17,Jabalquinto,Jaén,
A-44 - Saída 18,Mengíbar,Jaén,
A-44 - Saída 26,Jaén,Jaén,
A-44 - Saída 40-42,Jaén,Jaén,
A-44 - Saída 46,La Guardia de Jaén,Jaén,
A-44 - Saída 50,Pegalajar,Jaén,
A-44 - Saída 59,Cárcheles,Jaén,
A-44 - Saída 64,Cambil,Jaén,
A-44 - Saída 67,Campillo de Arenas,Jaén,
A-44 - Saída 74,Campillo de Arenas,Jaén,
A-44 - Saída 77,Noalejo,Jaén,
A-44 - Saída 79,Iznalloz,Granada,
A-44 - Saída 84,Campotéjar,Granada,
A-44 - Saída 89,Dehesas Viejas,Granada,
A-44 - Saída 97,Iznalloz,Granada,
A-44 - Saída 103,Deifontes,Granada,
A-44 - Saída 108,Albolote,Granada,
A-44 - Saída 111,Albolote,Granada,
A-44 - Saída 144,Padul,Granada,
A-44 - Saída 153,Villamena,Granada,
A-44 - Saída 157,Nigüelas,Granada,
A-44 - Saída 160,Lecrín,Granada,
A-44 - Saída 164,Lecrín,Granada,
A-44 - Saída 167,El Pinar,Granada,
A-44 - Saída 175,Vélez de Benaudalla,Granada,
A-44 - Saída 181,Vélez de Benaudalla,Granada,
A-45 - Saída 5,Córdoba,Córdoba,
A-45 - Saída 16,Fernán Núñez,Córdoba,
A-45 - Saída 27,Montilla,Córdoba,
A-45 - Saída 36,Montilla,Córdoba,
A-45 - Saída 40,Aguilar de la Frontera,Córdoba,
A-45 - Saída 49,Monturque,Córdoba,
A-45 - Saída 51,Lucena,Córdoba,
A-45 - Saída 62,Lucena,Córdoba,
A-45 - Saída 72,Encinas Reales,Córdoba,
A-45 - Saída 76,Benamejí,Córdoba,
A-45 - Saída 79,Benamejí,Córdoba,
A-45 - Saída 82,Benamejí,Córdoba,
A-45 - Saída 86,Antequera,Málaga,
A-45 - Saída 92,Antequera,Málaga,
A-45 - Saída 102,Antequera,Málaga,
A-45 - Saída 107,Antequera,Málaga,
A-45 - Saída 115,Antequera,Málaga,
A-45 - Saída 123,Casabermeja,Málaga,
A-45 - Saída 124,Casabermeja,Málaga,
A-45 - Saída 127,Casabermeja,Málaga,
A-45 - Saída 134,Málaga,Málaga,Palma-Palmilla
A-45 - Saída 136,Málaga,Málaga,Ciudad Jardín
A-45 - Saída 140,Málaga,Málaga,Ciudad Jardín
A-49 - Saída 1,Camas,Sevilha,
A-49 - Saída 1B,Castilleja de la Cuesta,Sevilha,
A-49 - Saída 2,Castilleja de la Cuesta,Sevilha,
A-49 - Saída 3,Castilleja de la Cuesta,Sevilha,
A-49 - Saída 5,Bormujos,Sevilha,
A-49 - Saída 11,Bollullos de la Mitación,Sevilha,
A-49 - Saída 14,Umbrete,Sevilha,
A-49 - Saída 16,Benacazón,Sevilha,
A-49 - Saída 23,Huévar del Aljarafe,Sevilha,
A-49 - Saída 28,Carrión de los Céspedes,Sevilha,
A-49 - Saída 34,Chucena,Huelva,
A-49 - Saída 48,Bollullos Par del Condado,Huelva,
A-49 - Saída 53,Villarrasa,Huelva,
A-49 - Saída 60,Bonares,Huelva,
A-49 - Saída 75,San Juan del Puerto,Huelva,
A-49 - Saída 81,Huelva,Huelva,
A-49 - Saída 87,Gibraleón,Huelva,
A-49 - Saída 94,Gibraleón,Huelva,
A-49 - Saída 99,Gibraleón,Huelva,
A-49 - Saída 105,Cartaya,Huelva,
A-49 - Saída 113,Lepe,Huelva,
A-49 - Saída 117,Lepe,Huelva,
A-49 - Saída 122,Isla Cristina,Huelva,
A-49 - Saída 125,Ayamonte,Huelva,
A-49 - Saída 129,Ayamonte,Huelva,
A-49 - Saída 131,Ayamonte,Huelva,
A-66 - Saída 613,Mérida,Badajoz,
A-66 - Saída 626,Mérida,Badajoz,
A-66 - Saída 627,Mérida,Badajoz,
A-66 - Saída 630,Mérida,Badajoz,
A-66 - Saída 636,Torremejía,Badajoz,
A-66 - Saída 641,Torremejía,Badajoz,
A-66 - Saída 648,Almendralejo,Badajoz,
A-66 - Saída 650,Almendralejo,Badajoz,
A-66 - Saída 652,Almendralejo,Badajoz,
A-66 - Saída 654,Almendralejo,Badajoz,
A-66 - Saída 657,Villafranca de los Barros,Badajoz,
A-66 - Saída 659,Villafranca de los Barros,Badajoz,
A-66 - Saída 662,Villafranca de los Barros,Badajoz,
A-66 - Saída 666,Villafranca de los Barros,Badajoz,
A-66 - Saída 670,Villafranca de los Barros,Badajoz,
A-66 - Saída 675,Los Santos de Maimona,Badajoz,
A-66 - Saída 677,Los Santos de Maimona,Badajoz,
A-66 - Saída 682,Puebla de Sancho Pérez,Badajoz,
A-66 - Saída 684,Puebla de Sancho Pérez,Badajoz,
A-66 - Saída 687,Puebla de Sancho Pérez,Badajoz,
A-66 - Saída 694,Calzadilla de los Barros,Badajoz,
A-66 - Saída 700,Fuente de Cantos,Badajoz,
A-66 - Saída 704,Fuente de Cantos,Badajoz,
A-66 - Saída 715,Monesterio,Badajoz,
A-66 - Saída 719,Monesterio,Badajoz,
A-66 - Saída 722,Monesterio,Badajoz,
A-66 - Saída 730,Monesterio,Badajoz,
A-66 - Saída 741,Santa Olalla del Cala,Huelva,
A-66 - Saída 745,Santa Olalla del Cala,Huelva,
A-66 - Saída 747,Santa Olalla del Cala,Huelva,
A-66 - Saída 765,El Ronquillo,Sevilha,
A-66 - Saída 768,El Ronquillo,Sevilha,
A-66 - Saída 771,El Ronquillo,Sevilha,
A-66 - Saída 782,El Garrobo,Sevilha,
A-66 - Saída 790,Guillena,Sevilha,
A-66 - Saída 795,Guillena,Sevilha,
A-66 - Saída 798,Guillena,Sevilha,
A-66 - Saída 805,Salteras,Sevilha,
A-66 - Saída 808,Santiponce,Sevilha,
A-92 - Andalucía Residencial,Sevilha,Sevilha,Este-Alcosa-Torreblanca
A-92 - Saída 5,Alcalá de Guadaíra,Sevilha,
A-92 - Saída 7,Alcalá de Guadaíra,Sevilha,
A-92 - Saída 9,Alcalá de Guadaíra,Sevilha,
A-92 - Saída 12,Alcalá de Guadaíra,Sevilha,
A-92 - Saída 14,Alcalá de Guadaíra,Sevilha,
A-92 - Saída 15,Alcalá de Guadaíra,Sevilha,
A-92 - Saída 23,Carmona,Sevilha,
A-92 - Saída 27,Carmona,Sevilha,
A-92 - Saída 37,Arahal,Sevilha,
A-92 - Saída 38,Arahal,Sevilha,
A-92 - Saída 40,Arahal,Sevilha,
A-92 - Saída 41,Arahal,Sevilha,
A-92 - Saída 43,Paradas,Sevilha,
A-92 - Saída 46,Paradas,Sevilha,
A-92 - Saída 49,Paradas,Sevilha,
A-92 - Saída 63,Marchena,Sevilha,
A-92 - Saída 65,La Puebla de Cazalla,Sevilha,
A-92 - Saída 80,Osuna,Sevilha,
A-92 - Saída 82,Osuna,Sevilha,
A-92 - Saída 84,Osuna,Sevilha,
A-92 - Saída 84A,Osuna,Sevilha,
A-92 - Saída 85,Osuna,Sevilha,
A-92 - Saída 92,Osuna,Sevilha,
A-92 - Saída 95,Estepa,Sevilha,
A-92 - Saída 97,Aguadulce,Sevilha,
A-92 - Saída 103,Estepa,Sevilha,
A-92 - Saída 105,Estepa,Sevilha,
A-92 - Saída 106,Estepa,Sevilha,
A-92 - Saída 109,Estepa,Sevilha,
A-92 - Saída 112,Lora de Estepa,Sevilha,
A-92 - Saída 113,Estepa,Sevilha,
A-92 - Saída 120,La Roda de Andalucía,Sevilha,
A-92 - Saída 123,La Roda de Andalucía,Sevilha,
A-92 - Saída 125,La Roda de Andalucía,Sevilha,
A-92 - Saída 132,Fuente de Piedra,Málaga,
A-92 - Saída 138,Mollina,Málaga,
A-92 - Saída 142,Mollina,Málaga,
A-92 - Saída 146,Antequera,Málaga,
A-92 - Saída 149,Antequera,Málaga,
A-92 - Saída 160,Archidona,Málaga,
A-92 - Saída 163,Archidona,Málaga,
A-92 - Saída 167,Archidona,Málaga,
A-92 - Saída 175,Archidona,Málaga,
A-92 - Saída 178,Loja,Granada,
A-92 - Saída 180,Loja,Granada,
A-92 - Saída 183,Loja,Granada,
A-92 - Saída 185,Loja,Granada,
A-92 - Saída 187,Loja,Granada,
A-92 - Saída 188,Loja,Granada,
A-92 - Saída 193,Loja,Granada,
A-92 - Saída 197,Salar,Granada,
A-92 - Saída 200,Huétor Tájar,Granada,
A-92 - Saída 203,Huétor Tájar,Granada,
A-92 - Saída 206,Moraleda de Zafayona,Granada,
A-92 - Saída 211,Moraleda de Zafayona,Granada,
A-92 - Saída 213,Moraleda de Zafayona,Granada,
A-92 - Saída 215,Moraleda de Zafayona,Granada,
A-92 - Saída 218,Pinos Puente,Granada,
A-92 - Saída 220,Láchar,Granada,
A-92 - Saída 221,Láchar,Granada,
A-92 - Saída 225,Cijuela,Granada,
A-92 - Saída 227,Chauchina,Granada,
A-92 - Saída 229,Santa Fe,Granada,
